PersonID,EventID,FirstName,LastName,JobTitle,DateOfBirth,CompanyID,HireDate,LayOffDate
23834,4073,Nicole,Mckay,Database Administrator,8/27/85,21,5/16/17,12/13/23
11232,6691,Matthew,Jordan,Security Analyst,8/21/82,21,4/16/19,12/13/23
24846,8753,Brenda,Walker,Data Scientist,7/31/90,21,3/18/21,12/13/23
21852,3938,Kathy,Thomas,Software Engineer,11/17/82,21,11/2/15,12/13/23
21962,3181,Joshua,Copeland,IT Specialist,2/11/72,21,3/29/17,12/13/23
51615,1383,Courtney,Rodriguez,Security Analyst,7/2/89,56,2/25/15,11/28/23
47609,1767,Richard,Woods,Security Analyst,4/4/91,56,10/12/21,11/28/23
70459,4979,Natasha,Curry,Database Administrator,11/1/87,56,9/29/22,11/28/23
78959,3418,Tiffany,Boone,DevOps Engineer,10/7/89,56,11/23/18,11/28/23
85174,7282,Joseph,Hill,Data Scientist,11/30/86,56,4/2/14,11/28/23
82447,2839,Jimmy,Martinez,Tech Support Specialist,12/29/90,56,6/22/20,11/28/23
59550,8352,Joanna,Watson,Web Developer,6/6/87,56,6/15/20,11/28/23
97198,7729,Kristin,Bowen,Data Scientist,5/13/94,56,4/10/19,11/28/23
41730,2770,Julia,Johnson,DevOps Engineer,10/1/82,56,2/17/17,11/28/23
19751,9108,Mary,Nelson,IT Specialist,9/27/95,56,1/21/16,11/28/23
73494,4515,Jacqueline,Roberts,UX Designer,2/19/88,56,5/25/14,11/28/23
67957,9097,Joan,Pena,Systems Analyst,10/11/73,56,8/31/14,11/28/23
65073,3764,Roger,Jackson,Database Administrator,6/4/83,56,4/22/15,11/28/23
19088,7108,Jennifer,Garcia,Data Scientist,6/11/94,56,5/3/19,11/28/23
29169,8765,Henry,Stewart,IT Specialist,5/2/87,56,6/10/22,11/28/23
50125,7647,Caleb,Cox,Tech Support Specialist,5/16/72,56,10/18/15,11/28/23
18897,5544,Keith,Wilson,Data Scientist,3/7/92,56,8/31/19,11/28/23
33631,7056,Victoria,Wallace,IT Specialist,7/27/84,56,8/11/20,11/28/23
53026,6555,Tiffany,Trevino,Tech Support Specialist,9/30/80,56,11/6/16,11/28/23
56451,7363,Heather,Coleman,Systems Analyst,12/14/75,56,12/11/19,11/28/23
80121,3734,Caroline,Hall,Tech Support Specialist,4/5/74,91,3/31/14,11/12/23
80186,6076,Jessica,Davis,Database Administrator,5/2/70,91,6/3/18,11/12/23
61958,3458,Jennifer,Austin,Product Manager,7/6/88,91,2/21/21,11/12/23
17010,6361,Wanda,Heath,Tech Support Specialist,8/15/83,91,2/24/22,11/12/23
49537,3343,Melissa,Martinez,Software Engineer,11/9/90,91,8/30/18,11/12/23
70444,1182,Amanda,Downs,UX Designer,4/8/71,91,12/11/19,11/12/23
37851,3963,Kimberly,Long,Product Manager,11/30/74,91,7/21/22,11/12/23
62132,8646,Jennifer,Schroeder,Software Engineer,3/7/79,91,6/27/15,11/12/23
70608,9901,Sherry,Cain,Systems Analyst,12/6/91,91,8/31/15,11/12/23
28778,6533,Dana,Lynn,Product Manager,7/22/87,91,4/11/22,11/12/23
12637,3730,Dawn,Davis,Software Engineer,4/23/93,91,10/27/15,11/12/23
48314,9837,Mary,Kelly,Data Scientist,8/28/92,91,3/31/15,11/12/23
25243,7975,Stephanie,Rowe,Data Scientist,9/11/78,91,1/11/16,11/12/23
93846,6926,Jason,Jackson,DevOps Engineer,7/11/70,91,7/31/18,11/12/23
42605,6283,Christina,Lawrence,Data Scientist,8/10/77,91,11/15/22,11/12/23
33168,7945,Stephanie,Campbell,Product Manager,7/25/78,91,9/15/16,11/12/23
80075,5543,Brenda,Owens,IT Specialist,3/27/76,91,12/3/20,11/12/23
17919,7140,Alyssa,Flynn,DevOps Engineer,2/2/88,91,12/30/21,11/12/23
57910,9209,Christopher,Sanchez,Tech Support Specialist,4/12/78,91,11/7/17,11/12/23
51359,9609,Sue,Macdonald,Network Engineer,1/27/95,91,11/17/20,11/12/23
99584,9521,Denise,Obrien,UX Designer,7/24/79,311,11/17/16,8/14/23
64877,5758,Melissa,Key,UX Designer,7/14/83,311,6/24/21,8/14/23
55448,3157,George,Griffith,Systems Analyst,10/10/82,311,11/17/15,8/14/23
95933,7574,Paula,Mays,Database Administrator,11/26/75,311,9/9/19,8/14/23
60699,1763,Carol,Villarreal,Software Engineer,9/12/82,311,9/12/17,8/14/23
11810,6624,Kevin,Wu,Systems Analyst,5/11/85,311,5/14/22,8/14/23
11980,6374,Diane,Smith,Systems Analyst,8/12/85,311,12/1/21,8/14/23
11230,3791,Christopher,Barnes,IT Specialist,7/19/87,311,3/30/21,8/14/23
46679,6759,Lisa,Burnett,IT Specialist,12/18/94,311,6/6/16,8/14/23
99842,9356,Mark,Flores,Web Developer,3/31/94,311,5/10/19,8/14/23
28340,6026,Alisha,Jones,Data Scientist,7/4/93,311,8/7/17,8/14/23
50607,5487,Joseph,Booker,UX Designer,12/3/88,311,5/4/14,8/14/23
48109,1333,Sheila,Robertson,Product Manager,7/10/77,311,6/10/16,8/14/23
95252,2680,Michael,Graham,Data Scientist,7/7/93,311,8/15/14,8/14/23
77193,5729,Tina,Griffith,Security Analyst,3/7/92,311,2/14/21,8/14/23
85952,9770,Mary,Wagner,Systems Analyst,12/13/95,311,4/14/18,8/14/23
10259,4641,Jeremy,Rivas,DevOps Engineer,9/26/95,311,2/16/21,8/14/23
79376,4864,Jacqueline,Reed,IT Specialist,10/10/74,311,8/14/15,8/14/23
38982,3099,Mario,Terrell,Security Analyst,10/11/89,311,8/2/22,8/14/23
52021,8008,Phillip,Clarke,Network Engineer,2/15/73,311,12/6/22,8/14/23
82070,1361,Joe,Collins,DevOps Engineer,12/24/75,504,5/19/17,6/21/23
18830,2231,Paul,King,IT Specialist,10/10/84,504,8/4/22,6/21/23
10924,5239,Robert,Gilmore,Systems Analyst,1/1/79,504,4/13/20,6/21/23
96402,4181,Victoria,Cline,Data Scientist,1/30/76,504,10/13/21,6/21/23
32039,4806,Brian,Fox,Database Administrator,3/14/84,504,8/18/15,6/21/23
85678,3337,Amy,Grimes,Security Analyst,12/28/90,504,1/28/18,6/21/23
76037,7137,Sheri,Morgan,IT Specialist,3/13/86,504,6/23/17,6/21/23
33540,7316,Bradley,Barrett,UX Designer,6/24/83,504,4/27/19,6/21/23
98373,4069,Richard,Harris,Data Scientist,5/21/75,504,5/18/16,6/21/23
95473,7299,Zachary,Moore,IT Specialist,6/13/95,504,2/18/17,6/21/23
17375,7705,Jenna,Douglas,UX Designer,7/5/85,504,2/7/19,6/21/23
15459,1968,Melody,Meza,Tech Support Specialist,10/9/90,504,3/18/16,6/21/23
53254,6256,Katherine,Palmer,Software Engineer,5/16/83,504,11/11/22,6/21/23
88993,5753,Glenda,Taylor,IT Specialist,2/18/90,504,10/6/18,6/21/23
57370,5126,William,Nelson,UX Designer,2/13/87,504,8/6/18,6/21/23
35707,5391,Michael,Clark,Systems Analyst,3/2/73,504,8/15/19,6/21/23
80145,7388,James,Beck,Data Scientist,10/30/81,504,1/31/22,6/21/23
82858,6106,Lisa,Snyder,Security Analyst,6/18/70,504,9/1/19,6/21/23
88632,3438,Brittany,Sanchez,DevOps Engineer,2/16/91,504,7/12/19,6/21/23
60527,1427,Christopher,Montgomery,Database Administrator,8/4/87,504,10/3/19,6/21/23
29194,6560,Marissa,Duran,Product Manager,8/16/76,530,6/16/14,6/14/23
99835,1825,Amber,Graham,DevOps Engineer,5/2/95,530,3/14/19,6/14/23
23121,6535,Robert,Blevins,Software Engineer,5/29/87,530,10/15/20,6/14/23
97259,9590,Tiffany,Wright,Security Analyst,5/16/77,530,7/3/16,6/14/23
36468,9572,Ernest,Castillo,Database Administrator,6/21/77,530,10/2/14,6/14/23
27956,8087,Melissa,Rice,Database Administrator,6/20/89,530,8/26/20,6/14/23
74429,1329,Samantha,Perez,DevOps Engineer,11/25/87,530,3/5/21,6/14/23
73595,6811,James,Bennett,Tech Support Specialist,7/17/87,530,7/5/19,6/14/23
34880,2554,Richard,Fischer,UX Designer,10/2/73,530,1/13/22,6/14/23
79811,6171,Matthew,Smith,Software Engineer,4/1/95,530,12/10/19,6/14/23
85886,9316,Benjamin,Gonzalez,Systems Analyst,4/13/73,530,7/5/15,6/14/23
52130,6831,James,Little,Data Scientist,8/15/78,530,9/8/16,6/14/23
45431,7416,Philip,Alvarado,Network Engineer,7/29/87,530,9/26/19,6/14/23
62722,9182,Melinda,Mcdaniel,Data Scientist,3/8/85,530,12/8/20,6/14/23
20394,9605,John,Daugherty,Network Engineer,5/14/92,530,6/19/19,6/14/23
25429,4942,Tamara,Franklin,Data Scientist,5/15/94,530,4/8/18,6/14/23
34364,9496,Roger,James,Product Manager,7/1/81,530,12/29/19,6/14/23
98665,3478,Timothy,Jones,Data Scientist,12/29/90,530,9/8/18,6/14/23
47992,8354,Alicia,Orr,DevOps Engineer,12/22/77,530,11/3/19,6/14/23
63102,1450,Amy,Murray,Systems Analyst,2/7/88,530,12/10/17,6/14/23
56938,9273,Cynthia,Macdonald,Database Administrator,7/11/71,540,7/29/20,6/12/23
80783,6185,Sara,Douglas,Tech Support Specialist,9/18/74,540,4/19/18,6/12/23
27849,4119,Shannon,Frank,UX Designer,1/22/80,540,8/26/22,6/12/23
24440,8719,Edward,Ramos,Network Engineer,1/11/78,540,12/23/16,6/12/23
84625,2473,Heather,Ferguson,IT Specialist,5/10/78,540,3/30/22,6/12/23
73179,5930,Adam,Smith,Database Administrator,1/26/90,540,5/28/16,6/12/23
71860,8169,Nicholas,York,Network Engineer,4/11/86,540,7/1/21,6/12/23
30823,2909,Jason,Nichols,Network Engineer,3/6/74,540,4/21/14,6/12/23
23204,8573,John,Bowers,Security Analyst,11/23/75,540,9/1/17,6/12/23
61515,9793,Scott,Salas,Web Developer,2/12/83,540,11/8/18,6/12/23
53932,6107,Daniel,Hoffman,UX Designer,12/27/93,540,8/2/16,6/12/23
65973,6848,Christina,Wallace,IT Specialist,7/17/70,540,8/7/14,6/12/23
44454,8559,Diane,Roach,UX Designer,2/7/86,540,10/30/16,6/12/23
73125,6969,Lauren,Hurley,UX Designer,6/25/70,540,11/19/20,6/12/23
23985,3238,Brent,Gutierrez,Data Scientist,1/1/90,540,8/23/17,6/12/23
26337,8818,Robert,Gonzalez,Product Manager,3/27/85,540,10/4/21,6/12/23
93569,5111,Peter,Williams,Software Engineer,9/24/86,540,9/24/17,6/12/23
51612,6872,Ronnie,Patterson,Software Engineer,6/2/85,540,2/5/18,6/12/23
60078,1538,Tara,Myers,Database Administrator,12/1/93,540,4/19/20,6/12/23
66881,1900,Victor,Oliver,Product Manager,11/12/84,540,10/16/18,6/12/23
57645,3023,Michael,Watson,Data Scientist,5/24/84,562,1/27/19,6/6/23
67873,3849,Richard,Howell,Network Engineer,9/24/74,562,1/26/18,6/6/23
13892,1309,Joseph,Arnold,Product Manager,8/4/89,562,6/24/20,6/6/23
47788,9840,John,Duncan,Product Manager,6/26/92,562,10/9/15,6/6/23
53737,7607,Sharon,Wilson,UX Designer,5/29/78,562,9/29/14,6/6/23
87377,1877,Dustin,Williams,Web Developer,9/5/88,562,11/19/16,6/6/23
21856,9532,Pamela,Brooks,Data Scientist,3/4/95,562,7/26/16,6/6/23
95499,5648,Trevor,Smith,Product Manager,10/10/75,562,10/31/15,6/6/23
53145,6425,Wendy,Stephenson,Web Developer,1/6/71,562,10/29/14,6/6/23
95837,7408,Jeffrey,Stewart,Web Developer,4/5/72,562,4/25/19,6/6/23
57866,3129,Nathaniel,Figueroa,Tech Support Specialist,2/27/79,562,6/3/19,6/6/23
49431,8631,Amber,Rodriguez,Systems Analyst,9/6/83,562,8/28/16,6/6/23
23127,4180,Brendan,Dyer,Data Scientist,3/17/75,562,6/19/16,6/6/23
82531,9792,Aaron,Potter,UX Designer,10/29/77,562,3/2/22,6/6/23
94095,4069,Jimmy,Davis,Software Engineer,9/14/90,562,8/23/19,6/6/23
53379,9137,Jasmine,Holt,Systems Analyst,2/7/89,562,1/6/22,6/6/23
57754,7335,Michael,Wilson,DevOps Engineer,7/5/88,562,6/8/15,6/6/23
65025,9492,Alicia,Anderson,Database Administrator,10/18/74,562,5/29/17,6/6/23
43159,8335,Justin,Grant,Database Administrator,8/7/75,562,5/10/22,6/6/23
75759,5235,Michelle,Cook,Data Scientist,5/26/90,562,1/7/20,6/6/23
78944,9569,Gerald,Santos,Data Scientist,11/21/95,628,4/3/17,5/16/23
94826,3583,Stephanie,Cross,Product Manager,7/6/90,628,1/22/22,5/16/23
74717,1194,Tanya,Schultz,IT Specialist,12/16/88,628,7/21/21,5/16/23
55927,7534,Tammy,Davis,Network Engineer,11/22/94,628,9/27/17,5/16/23
17520,5354,Lynn,Flores,UX Designer,12/17/88,628,6/1/21,5/16/23
68988,4108,Jimmy,Johns,Security Analyst,1/17/83,628,12/19/21,5/16/23
77752,6274,Robert,Phillips,Software Engineer,1/4/93,628,1/12/18,5/16/23
89543,4853,Thomas,Vargas,Data Scientist,1/8/84,628,6/9/16,5/16/23
94981,5845,Brooke,Fox,Database Administrator,7/11/88,628,6/13/22,5/16/23
34313,1761,Benjamin,Thompson,Database Administrator,12/2/79,628,12/31/16,5/16/23
42042,8422,Sarah,Jennings,IT Specialist,9/21/71,628,6/10/22,5/16/23
25369,9687,Michael,Terry,Software Engineer,3/5/77,628,12/11/17,5/16/23
31636,6647,Jonathan,Stewart,Systems Analyst,1/23/86,628,12/19/22,5/16/23
67818,8385,Donald,Morales,Network Engineer,2/9/73,628,1/14/15,5/16/23
73520,2590,Molly,Mccann,Security Analyst,10/9/92,628,11/8/14,5/16/23
61389,6323,Christopher,Meyer,Systems Analyst,12/7/84,628,8/5/18,5/16/23
16050,3233,Sara,Smith,IT Specialist,5/4/83,628,3/8/19,5/16/23
38491,4739,Anthony,Rowe,Web Developer,3/30/90,628,10/22/22,5/16/23
72251,3443,Ronald,Harrison,Data Scientist,7/14/86,628,2/16/16,5/16/23
43668,1910,Jennifer,Compton,Network Engineer,6/11/95,628,2/1/17,5/16/23
15488,8698,Joseph,Lozano,Database Administrator,9/12/82,688,9/25/17,4/27/23
70843,8275,Steven,Thomas,Systems Analyst,10/25/92,688,3/30/20,4/27/23
29428,3343,Tommy,Bailey,Database Administrator,5/30/90,688,1/21/15,4/27/23
55034,2950,Sarah,Nelson,Systems Analyst,5/11/89,688,7/9/21,4/27/23
23840,6595,Paul,Cannon,UX Designer,1/11/77,688,9/17/20,4/27/23
27565,8892,Brenda,Johnson,Web Developer,8/2/86,688,1/11/15,4/27/23
92081,9010,Brenda,Austin,Web Developer,10/25/82,688,8/22/20,4/27/23
55925,4782,Timothy,York,Tech Support Specialist,2/27/75,688,8/31/14,4/27/23
64744,9865,Kathryn,Campbell,Security Analyst,3/27/84,688,7/19/17,4/27/23
91651,9406,Alison,Zamora,Web Developer,8/15/92,688,4/6/15,4/27/23
21714,2998,Joshua,Shields,IT Specialist,5/21/92,688,9/17/20,4/27/23
44186,2386,Adrienne,Williams,Security Analyst,1/23/86,688,12/28/14,4/27/23
87432,6790,David,Horton,Tech Support Specialist,9/16/85,688,10/19/16,4/27/23
94015,3956,Angela,Taylor,Web Developer,6/14/92,688,3/29/15,4/27/23
78506,3171,Stephanie,Smith,Product Manager,6/8/76,688,2/28/19,4/27/23
74890,2708,Daniel,Kane,Database Administrator,12/15/85,688,4/16/16,4/27/23
61153,7863,Claudia,Hendrix,Security Analyst,8/31/75,688,1/31/16,4/27/23
89165,4660,Emily,Wells,Systems Analyst,9/25/77,688,5/20/15,4/27/23
42133,1591,Kevin,Hamilton,Systems Analyst,7/9/87,688,2/16/15,4/27/23
62010,9150,Dana,Dunn,IT Specialist,10/28/76,688,11/1/18,4/27/23
87248,9583,Kim,Chen,UX Designer,12/23/80,690,9/6/21,4/27/23
21454,3079,Elizabeth,Barry,Network Engineer,4/9/95,690,9/3/22,4/27/23
96751,8352,Anthony,Fletcher,Systems Analyst,8/25/71,690,10/24/19,4/27/23
46607,9739,Tiffany,Blackwell,Database Administrator,9/4/84,690,7/11/16,4/27/23
17990,3204,Kevin,Eaton,Product Manager,6/10/78,690,7/29/19,4/27/23
61468,3636,Amanda,James,Database Administrator,4/4/82,690,2/3/16,4/27/23
66686,1438,Andrea,Ramirez,DevOps Engineer,7/20/77,690,6/3/21,4/27/23
63378,6362,Dylan,Sandoval,Product Manager,8/5/76,690,3/29/20,4/27/23
39481,8840,David,Shaw,Web Developer,5/31/77,690,2/4/16,4/27/23
56256,7229,David,Smith,UX Designer,4/15/93,690,8/1/22,4/27/23
46470,8315,Julie,Thompson,IT Specialist,11/4/86,690,4/7/21,4/27/23
62303,6330,Anthony,Crawford,Tech Support Specialist,12/31/85,690,3/23/16,4/27/23
12138,2959,James,Sanchez,IT Specialist,7/16/75,690,1/6/16,4/27/23
57712,8780,Danielle,Marks,IT Specialist,2/25/71,690,12/20/14,4/27/23
67916,2762,Danielle,Beltran,Software Engineer,8/6/85,690,1/31/20,4/27/23
95804,4773,Jerry,Hodges,Software Engineer,3/3/75,690,8/17/14,4/27/23
61848,5438,Matthew,Rich,Web Developer,4/22/88,690,5/16/16,4/27/23
29442,6317,Cory,Walter,Network Engineer,1/18/76,690,9/20/14,4/27/23
29490,2545,Susan,Walsh,Product Manager,5/20/85,690,6/17/16,4/27/23
75121,9828,Zachary,Sexton,Web Developer,2/21/78,690,11/19/19,4/27/23
80808,5727,Susan,Pugh,Database Administrator,6/22/75,709,5/7/16,4/21/23
48200,7369,Christine,Cervantes,Network Engineer,4/10/92,709,4/13/14,4/21/23
79960,2747,Jacob,Hines,Software Engineer,2/28/78,709,4/25/19,4/21/23
74613,6328,Johnny,Gould,Tech Support Specialist,12/4/91,709,5/21/15,4/21/23
21713,7937,Joshua,Lambert,Database Administrator,11/7/89,709,2/18/19,4/21/23
33808,9796,Kari,Vargas,Tech Support Specialist,3/18/75,709,3/6/20,4/21/23
26391,8535,Victoria,Johnson,Security Analyst,6/20/93,709,4/30/17,4/21/23
52242,1535,Andrea,Colon,Software Engineer,5/8/71,709,11/29/19,4/21/23
65871,1152,Anthony,Douglas,Product Manager,9/19/75,709,4/26/21,4/21/23
54250,9066,Mark,Lopez,UX Designer,6/12/70,709,4/24/18,4/21/23
33744,8488,Sarah,Lopez,Web Developer,3/24/85,709,2/13/15,4/21/23
92372,6109,Gabriela,Riggs,Data Scientist,4/26/86,709,7/8/16,4/21/23
69523,4902,Ashley,Davis,Database Administrator,4/2/76,709,10/3/19,4/21/23
45549,4104,Nicole,Ellis,Web Developer,10/14/84,709,9/7/19,4/21/23
77580,5608,Russell,Drake,Data Scientist,1/13/81,709,4/19/16,4/21/23
62677,3089,Virginia,Johnson,IT Specialist,9/21/78,709,3/2/16,4/21/23
66402,4377,Alyssa,Doyle,Web Developer,5/26/93,709,9/28/20,4/21/23
54764,2606,Robert,Lopez,DevOps Engineer,5/9/90,709,8/21/21,4/21/23
93755,9278,Donna,Smith,Security Analyst,3/3/70,709,5/15/21,4/21/23
51831,3934,Stacy,Hunter,Data Scientist,5/9/94,709,5/3/14,4/21/23
26568,7452,Dawn,Webster,Systems Analyst,6/25/92,712,11/19/17,4/20/23
71110,3332,Elizabeth,Summers,Software Engineer,6/3/73,712,9/13/19,4/20/23
28424,4243,Kristy,Green,Software Engineer,8/22/92,712,10/8/15,4/20/23
78539,2122,Thomas,Lambert,DevOps Engineer,4/18/79,712,12/21/20,4/20/23
30650,4092,Nichole,Bishop,Database Administrator,1/6/91,712,6/17/15,4/20/23
25053,3396,Marcus,Reynolds,Network Engineer,5/12/72,712,10/27/18,4/20/23
18819,3441,Melissa,Hodges,Security Analyst,3/18/87,712,5/25/18,4/20/23
20184,1966,James,Huff,Security Analyst,1/23/75,712,11/30/18,4/20/23
72156,3924,Amanda,Morgan,Web Developer,12/19/88,712,7/19/15,4/20/23
53646,9418,Deborah,Lopez,Network Engineer,2/6/78,712,5/1/20,4/20/23
23432,8034,Ashley,Rodriguez,UX Designer,10/7/79,712,5/15/16,4/20/23
47841,4256,Carrie,Smith,Database Administrator,11/16/90,712,5/31/19,4/20/23
99674,4475,Denise,Sherman,Systems Analyst,7/28/90,712,12/17/22,4/20/23
96720,6571,Stephen,Martinez,Data Scientist,7/11/78,712,1/12/22,4/20/23
35213,4550,Paul,Cervantes,Data Scientist,11/25/91,712,3/8/21,4/20/23
81108,1566,Brittany,Evans,IT Specialist,8/8/91,712,9/11/17,4/20/23
48243,9268,Jessica,Patel,DevOps Engineer,6/25/81,712,6/14/22,4/20/23
34468,7372,Tara,Pruitt,Web Developer,7/16/94,712,12/28/14,4/20/23
26520,3287,Shirley,Smith,Web Developer,3/19/95,712,5/11/19,4/20/23
71224,1228,William,Rose,Systems Analyst,12/3/83,712,8/6/21,4/20/23
71435,7001,Bobby,Ramsey,Security Analyst,9/8/88,721,11/22/20,4/18/23
42630,6973,Jason,Fitzpatrick,Data Scientist,3/12/74,721,8/10/14,4/18/23
16509,8986,Harry,Whitney,Tech Support Specialist,3/22/76,721,10/13/15,4/18/23
30301,6809,Todd,Johnson,UX Designer,3/14/79,721,3/4/19,4/18/23
69672,2018,Jeanette,Sandoval,Tech Support Specialist,9/25/78,721,12/29/15,4/18/23
65488,9570,Derek,White,Systems Analyst,11/3/94,721,3/5/16,4/18/23
81856,7581,Michelle,Hill,Web Developer,7/5/71,721,9/7/21,4/18/23
87363,3011,Kelly,Adams,Network Engineer,10/15/80,721,7/2/15,4/18/23
89913,8127,James,Jones,Web Developer,1/4/86,721,10/2/21,4/18/23
23774,2566,Lance,Martinez,Tech Support Specialist,12/15/77,721,4/30/18,4/18/23
23973,6416,Joseph,Williams,Systems Analyst,12/28/74,721,4/3/16,4/18/23
15476,1900,James,Oliver,Database Administrator,8/11/70,721,8/19/18,4/18/23
83709,3977,Bailey,Rivera,Systems Analyst,1/10/92,721,6/21/19,4/18/23
35750,1624,Barbara,Campos,Web Developer,3/8/73,721,11/5/17,4/18/23
63179,7620,Sandra,Mayer,Database Administrator,1/16/72,721,2/11/18,4/18/23
41670,2122,Jessica,Phillips,DevOps Engineer,5/4/84,721,6/18/17,4/18/23
51547,5477,George,Johnson,Web Developer,8/7/73,721,2/18/22,4/18/23
56771,3152,Michelle,Cordova,DevOps Engineer,6/25/81,721,8/16/14,4/18/23
89038,8342,Craig,Johnson,DevOps Engineer,4/13/83,721,2/11/15,4/18/23
55615,3905,Ryan,Scott,Database Administrator,12/8/85,721,8/28/16,4/18/23
53420,9656,Kaitlyn,Rodriguez,Product Manager,2/9/83,800,5/2/18,3/28/23
30667,6040,Brandy,Jordan,Network Engineer,5/16/80,800,1/6/22,3/28/23
43424,5020,Devin,Grimes,Software Engineer,9/29/80,800,6/18/19,3/28/23
97278,6384,Keith,Jones,Data Scientist,9/10/77,800,2/3/16,3/28/23
89089,2782,Nichole,Joseph,Security Analyst,8/28/88,800,5/30/21,3/28/23
80933,5370,Christopher,Rivera,IT Specialist,9/29/83,800,4/9/16,3/28/23
45322,1777,Amber,Lopez,Web Developer,4/19/71,800,8/26/20,3/28/23
73359,6304,Alicia,Beck,Software Engineer,11/2/80,800,11/21/17,3/28/23
69937,2994,Lori,Dean,Tech Support Specialist,6/17/77,800,7/20/16,3/28/23
59707,1332,Christopher,Thomas,Network Engineer,5/4/77,800,12/30/22,3/28/23
78988,5500,Julia,Pacheco,Security Analyst,11/19/82,800,10/21/15,3/28/23
30181,8026,Adam,Gibson,Data Scientist,4/10/90,800,1/20/20,3/28/23
43873,3466,Caroline,Moreno,Systems Analyst,9/24/72,800,12/22/15,3/28/23
87147,1064,Keith,Pittman,Systems Analyst,11/7/74,800,5/6/17,3/28/23
20880,3219,Vicki,Santana,IT Specialist,1/6/95,800,1/1/22,3/28/23
22855,7060,Daniel,Hernandez,IT Specialist,8/9/83,800,11/9/18,3/28/23
42721,8052,Denise,Singh,Data Scientist,7/7/85,800,1/11/20,3/28/23
37884,2811,John,Harding,Systems Analyst,12/22/92,800,11/24/15,3/28/23
70127,5641,Dana,Diaz,Network Engineer,8/19/70,800,11/23/15,3/28/23
61821,7984,Stephanie,Young,Software Engineer,3/6/73,800,12/7/22,3/28/23
87235,3490,Jonathan,Davis,Software Engineer,2/3/95,829,9/10/14,3/20/23
26989,8269,Sarah,Wilson,Data Scientist,11/30/92,829,1/22/18,3/20/23
38399,5545,Kimberly,Howell,DevOps Engineer,3/5/94,829,3/18/18,3/20/23
14957,4152,Brian,Pennington,IT Specialist,4/7/74,829,8/31/16,3/20/23
93465,7413,James,Reynolds,IT Specialist,4/20/70,829,11/7/14,3/20/23
50350,2913,Kaitlyn,Arnold,Security Analyst,4/9/87,829,9/24/14,3/20/23
